Year,Month,Day,Region,Site,Fisher,Method,sector,Fish no.,HL,Width,Whole Weight,Mantle weight,Quill length,Sex,Stage,OW.testes,NW.sperm,ODV.vasdeferens,OV.penis,Whole.nadWt,Nads kept,Mated,Comments
2014,10,6,Geographe Bay,Busselton Jetty,W. Upton,,Recreational,141495,,,,,114, ,,,,,,0,,,
2012,12,15,Metro,Cockburn Sound,Mangles Bay Fishing Club,,Recreational,130688,161,,,,151,F,3,0.64,0.34,,,,,,
2012,12,15,Metro,Cockburn Sound,Mangles Bay Fishing Club,,Recreational,130689,169,,,,165,F,3,1.14,0.44,,0.24,,,,
2012,12,15,Metro,Cockburn Sound,Mangles Bay Fishing Club,,Recreational,130691,125,,,,119,F,2,0.41,,,,,,,oocytes not visible
2012,12,15,Metro,Cockburn Sound,Mangles Bay Fishing Club,,Recreational,130692,177,,,,172,F,3,,0.54,0.29,,,,,
2012,12,15,Metro,Cockburn Sound,Mangles Bay Fishing Club,,Recreational,130693,206,,,,201,F,4,,,5.54,,,,,swollen oviduct
2012,12,15,Metro,Cockburn Sound,Mangles Bay Fishing Club,,Recreational,130698,150,,,,152,F,3,,0.28,,0.15,,,,
2012,12,15,Metro,Cockburn Sound,Mangles Bay Fishing Club,,Recreational,130699,195,,,,198,F,4,,,2.95,2.84,,,,
2012,12,15,Metro,Cockburn Sound,Mangles Bay Fishing Club,,Recreational,130700,219,,,,221,F,5,17.4,24.24,,6.44,48.08,,,
2012,12,15,Metro,Cockburn Sound,Mangles Bay Fishing Club,,Recreational,130701,179,,,,,F,4,,,,,,,,oviduct fleshy/swollen
2012,12,15,Metro,Cockburn Sound,Mangles Bay Fishing Club,,Recreational,130704,162,,,,163,F,3,0.35,0.52,0.19,,,,,
2013,4,1,Albany,King George Sound,Jackman,,Commercial,130740,271,207,994.2,300.8,275,F,5,41.8,32.54,8.5,,82.84,ü,,
2013,4,1,Albany,King George Sound,Jackman,,Commercial,130742,188,139,337.3,118,187,F,3,0.38,0.3,0.41,,1.09,ü,,
